control_point,x_image,y_image,longitude,latitude,original_toponym,present_toponym,map,mapwarper_link,image_link
4,1558.641892,2279.182567,35.85886001,34.85609017,[illegible],"Arwad, Syris",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
5,1240.76098,2370.426157,28.96820068,41.01102323,Constantinopolis,"Istanbul, Turkey",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
6,1515.915963,3404.39364,6.098098755,50.78049596,[illegible],"Aachen, Germany",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
7,1794.48902,2224.493378,35.22560119,33.270876,[illegible],"Sour, Lebanon",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
8,1539.842483,2193.730709,32.44606018,34.76421157,Paphos,"Paphos, Cyprus",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
9,2397.779139,2988.43299,12.50587463,41.88186096,Roma,"Rome, Italy",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
10,2774.621833,2888.739138,10.34156799,36.86280694,[illegible],"Carthage, Tunisia",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
11,3154.028083,2290.576131,29.81483459,31.15539776,[illegible],"Alexandria, Egypt",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
12,1817.561022,2423.596234,22.90718079,40.65428345,[illegible],"Thessaloniki, Greece",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
13,2753.258868,2352.671191,24.9066925,35.19130451,Creta,"Crete, Greece",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
14,2259.347128,2513.320685,22.94563293,37.95000808,[illegible],"Corinth, Greece",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
15,2438.79603,1505.368687,44.46784973,32.44492194,Babilonia,"Hillah, Iraq",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
16,1266.396537,3465.444257,6.993484497,50.92768843,Colonia,"Cologne, Germany",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
17,863.0637669,3221.051943,10.41984558,53.25163886,[illegible],"Lüneberg, Germany",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
18,1061.312078,3219.342905,9.734573364,52.39360095,[illegible],"Hanover, Germany",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
19,1010.040963,3130.472973,10.52009582,52.28284253,[illegible],"Brunswick, Germany",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
20,1999.57348,3168.071791,8.564529419,47.36996783,[illegible],"Zurich, Switzerland",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
21,1938.048142,1037.472146,48.26087951,32.20831993,Susa,"Shush, Iran",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
